from,to
JuttaAllmendinger,DGS
JuttaAllmendinger,IAB
JuttaAllmendinger,WZB
JuttaAllmendinger,BHU
JuttaAllmendinger,MPIB
MichaelKreuzberg,CDU
MichaelKreuzberg,ZRR
MichaelKreuzberg,MetropolregionRheinland
MichaelKreuzberg,NaturparkRheinland
MichaelKreuzberg,KreissparkasseKoeln
ReinerPriggen,DieGruenen
ReinerPriggen,LEENRW
ReinerPriggen,LandtagNW
ReinerPriggen,LL
MichaelVassiliadis,SPD
MichaelVassiliadis,IGBCE
MichaelVassiliadis,BAPP
MichaelVassiliadis,SNV
MichaelVassiliadis,CARE
AndreasScheidt,SPD
AndreasScheidt,EON
AndreasScheidt,WuppertalerStadtwerke
AndreasScheidt,DienstleistungsgewerkschaftVerdi
StefanKoerzell,DGB
StefanKoerzell,SPD
StefanKoerzell,HR
StefanKoerzell,DR
MatthiasPlatzeck,ZDF
MatthiasPlatzeck,SPD
MatthiasPlatzeck,DeutschRussischeForum
MatthiasPlatzeck,FlughafenBerlinBrandenburgGmbH
MatthiasPlatzeck,DeutscherBundestag
HubertWeiger,BUND
HubertWeiger,VDW
HubertWeiger,RNE
HubertWeiger,BSUGV
HubertWeiger,BALR
FelixMatthes,EKNE
FelixMatthes,OekoInstitut
ChristineHerntier,SprembergerTuche
AndreasLenz,PBNE
AndreasLenz,CSU
AndreasLenz,EUD
HansJoachimSchellnhuber,PIK
HansJoachimSchellnhuber,WBGU
HansJoachimSchellnhuber,IPCC
HansJoachimSchellnhuber,SRC
AnnekathrinNiebuhr,HWWA
AnnekathrinNiebuhr,UniKiel
AnnekathrinNiebuhr,IABNord
MatthiasMiersch,DeutscherBundestag
MatthiasMiersch,SPD
MatthiasMiersch,AUNR
AndreasLaemmel,MIT
AndreasLaemmel,PKM
AndreasLaemmel,CDU
AndreasLaemmel,NeuesForum
KaiNiebert,Naturfreunde
KaiNiebert,DNR
KaiNiebert,DBU
RalfWehrspohn,SM
RalfWehrspohn,FG
RalfWehrspohn,FrauenhoferInstitut
RalfWehrspohn,MPIM
MartinKaiser,Greenpeace
ClaudiaNemat,Airbus
ClaudiaNemat,McKinsey
ClaudiaNemat,Lanxess
ClaudiaNemat,Telekom
BarbaraPraetorius,VerbandkommunalerUnternehmen
BarbaraPraetorius,HTWBerlin
BarbaraPraetorius,AgoraEnergiewende
StanislawTillich,RKK
StanislawTillich,EP
StanislawTillich,CDU
StanislawTillich,MIBRAG
GerdaHasselfeldt,CSU
GerdaHasselfeldt,FrauenUnion
GerdaHasselfeldt,DRK
GerdaHasselfeldt,DeutscherBundestag
SteffenKampeter,CDU
SteffenKampeter,StiftungsratderKulturstiftung
SteffenKampeter,BDA
SteffenKampeter,DeutscherBundestag
SteffenKampeter,Bundesfinanzministerium
SteffenKampeter,KulturakademieTarabya
SteffenKampeter,InitiativeMusik
StefanKapferer,BundesministeriumfuerGesundheit
StefanKapferer,DEA
StefanKapferer,BDEW
StefanKapferer,FDP
DieterKempf,DATEV
DieterKempf,BDI
DieterKempf,DsiN
DieterKempf,GVB
DieterKempf,Bitkom
DieterKempf,CyberSicherheitsrat
DieterKempf,DeutscheMesse
RonaldPofalla,DeutscheBahn
RonaldPofalla,CDU
RonaldPofalla,Bundeskanzleramt
RonaldPofalla,DeutscherBundestag
RonaldPofalla,GemeinderatWeeze
KatherinaReiche,CDU
KatherinaReiche,EON
KatherinaReiche,FrauenUnion
KatherinaReiche,DeutscherBundestag
GundaRoestel,DieGruenen
GundaRoestel,EnBW
GundaRoestel,SD
GundaRoestel,NeuesForum
GundaRoestel,Gelsenwasser
EricSchweitzer,DIHT
EricSchweitzer,FDP
EricSchweitzer,IHKBerlin
EricSchweitzer,RNE
EricSchweitzer,BerlinPartner
EricSchweitzer,FEAD
AntjeGrothus,BfB
AntjeGrothus,Tierschutzpartei
AntjeGrothus,KlimaAllianzDeutschland
HanneloreWodtke,GZW
HanneloreWodtke,CDU
